epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3254,2.90353,3.37754,3.95569,0.19907,0.27778,0.12692,0.04128,2.49862,4.10714,4.27046,0.000663923,0.000663923,0.000663923
2,51.4893,2.7376,3.00124,3.36518,0.11503,0.51389,0.10188,0.03333,2.31394,4.3545,3.07892,0.00130424,0.00130424,0.00130424
3,76.1327,2.57277,2.76897,3.15972,0.35348,0.4375,0.29125,0.1107,2.19028,2.97733,2.99847,0.00191817,0.00191817,0.00191817
4,100.886,2.40019,2.63906,2.95548,0.43937,0.38642,0.41066,0.11834,2.25158,2.86127,3.14416,0.0018812,0.0018812,0.0018812
5,125.776,2.31034,2.41528,2.81454,0.63762,0.67361,0.70991,0.36812,1.82709,2.1638,2.50575,0.0018416,0.0018416,0.0018416
6,150.534,2.17159,2.25008,2.63778,0.66859,0.73611,0.73663,0.34362,1.81298,1.77157,2.46821,0.001802,0.001802,0.001802
7,175.435,2.05085,2.08776,2.51906,0.81133,0.75694,0.83171,0.49344,1.63434,1.81306,2.29319,0.0017624,0.0017624,0.0017624
8,200.156,1.93695,1.95021,2.39055,0.84725,0.74306,0.82973,0.53014,1.47426,1.51947,2.09395,0.0017228,0.0017228,0.0017228
9,225.022,1.86421,1.84654,2.3045,0.78835,0.75694,0.80037,0.52216,1.41137,1.53474,2.09031,0.0016832,0.0016832,0.0016832
10,249.79,1.75614,1.77454,2.21286,0.94297,0.80373,0.89456,0.60457,1.29762,1.1869,1.93757,0.0016436,0.0016436,0.0016436
11,274.595,1.64692,1.64107,2.09748,0.79062,0.81287,0.8306,0.56386,1.24042,1.23471,1.84156,0.001604,0.001604,0.001604
12,299.336,1.61224,1.61266,2.07381,0.90278,0.76389,0.86162,0.61458,1.19473,1.15208,1.80899,0.0015644,0.0015644,0.0015644
13,324.104,1.54324,1.54302,2.01266,0.88304,0.84028,0.90392,0.67855,1.11643,1.0514,1.73757,0.0015248,0.0015248,0.0015248
14,348.856,1.45588,1.48675,1.92907,0.91605,0.80556,0.89724,0.63267,1.22082,1.03385,1.84447,0.0014852,0.0014852,0.0014852
15,373.541,1.48205,1.47034,1.94545,0.88379,0.84722,0.91479,0.66873,1.12509,0.99924,1.73808,0.0014456,0.0014456,0.0014456
16,398.188,1.39988,1.35387,1.87878,0.92436,0.84869,0.92095,0.6708,1.13978,0.99943,1.74404,0.001406,0.001406,0.001406
17,422.79,1.3758,1.34679,1.85012,0.92326,0.85417,0.90775,0.65769,1.15633,1.10023,1.75266,0.0013664,0.0013664,0.0013664
18,447.475,1.3024,1.29045,1.79963,0.92131,0.86806,0.91703,0.70939,1.02349,0.88406,1.6259,0.0013268,0.0013268,0.0013268
19,472.156,1.28734,1.26701,1.78594,0.96577,0.89583,0.94417,0.72316,1.00567,0.81069,1.61445,0.0012872,0.0012872,0.0012872
20,497.025,1.27939,1.23907,1.79165,0.9254,0.86148,0.93033,0.72232,0.95819,0.81572,1.57369,0.0012476,0.0012476,0.0012476
21,521.744,1.27889,1.22518,1.7798,0.88113,0.88889,0.9315,0.66171,1.11985,0.96576,1.67801,0.001208,0.001208,0.001208
22,546.393,1.26884,1.21504,1.77676,0.93572,0.90983,0.94171,0.70843,1.02669,0.84672,1.61278,0.0011684,0.0011684,0.0011684
23,571.742,1.20918,1.19109,1.73562,0.95058,0.84722,0.92903,0.72127,0.96008,0.85662,1.57021,0.0011288,0.0011288,0.0011288
24,596.41,1.18988,1.14655,1.69639,0.94926,0.90941,0.94,0.75789,0.88837,0.75035,1.50246,0.0010892,0.0010892,0.0010892
25,620.965,1.15847,1.09001,1.65577,0.94854,0.90278,0.94734,0.73721,0.92389,0.7987,1.5225,0.0010496,0.0010496,0.0010496
26,645.72,1.15493,1.08084,1.66497,0.93613,0.92361,0.95226,0.75193,0.92757,0.70078,1.53779,0.00101,0.00101,0.00101
27,670.309,1.14478,1.08035,1.66583,0.91599,0.86806,0.93353,0.72444,0.95265,0.78863,1.54766,0.0009704,0.0009704,0.0009704
28,1006.86,1.11091,1.05695,1.62197,0.94915,0.90728,0.94068,0.73222,0.9681,0.76606,1.5543,0.0009308,0.0009308,0.0009308
29,1031.73,1.12077,1.04252,1.62392,0.9612,0.86016,0.93794,0.7597,0.88547,0.69759,1.48777,0.0008912,0.0008912,0.0008912
30,1056.46,1.0917,1.02425,1.6128,0.94517,0.91667,0.94593,0.75809,0.86448,0.68701,1.45595,0.0008516,0.0008516,0.0008516
31,1081.07,1.07093,0.97572,1.58381,0.95276,0.9375,0.94914,0.76611,0.85194,0.6511,1.45256,0.000812,0.000812,0.000812
32,1105.62,1.09081,1.00368,1.6051,0.92357,0.93056,0.95134,0.76663,0.87005,0.66288,1.46792,0.0007724,0.0007724,0.0007724
33,1130.2,1.05418,0.97798,1.57238,0.95088,0.90278,0.9424,0.74364,0.91059,0.66842,1.48873,0.0007328,0.0007328,0.0007328
34,1154.72,1.07489,0.99249,1.58881,0.94874,0.88889,0.95208,0.76668,0.85974,0.62593,1.44267,0.0006932,0.0006932,0.0006932
35,1179.44,1.02904,0.93525,1.56926,0.99118,0.88194,0.95638,0.76544,0.86319,0.61283,1.42386,0.0006536,0.0006536,0.0006536
36,1203.98,1.01738,0.92286,1.54729,0.94924,0.90904,0.95048,0.78396,0.80353,0.6064,1.39338,0.000614,0.000614,0.000614
37,1228.65,0.99283,0.9056,1.53351,0.96335,0.91264,0.95023,0.77452,0.81536,0.58698,1.4097,0.0005744,0.0005744,0.0005744
38,1253.13,1.00336,0.9306,1.54235,0.96381,0.92462,0.95736,0.80008,0.78148,0.58539,1.3788,0.0005348,0.0005348,0.0005348
39,1277.79,0.97188,0.90452,1.51903,0.97134,0.94161,0.95889,0.79607,0.79161,0.55343,1.37656,0.0004952,0.0004952,0.0004952
40,1302.33,0.99117,0.8838,1.5359,0.97685,0.87909,0.94983,0.77886,0.82552,0.56395,1.41271,0.0004556,0.0004556,0.0004556
41,1336.6,0.84905,0.71327,1.45398,0.9782,0.93466,0.95509,0.78771,0.80784,0.53752,1.4029,0.000416,0.000416,0.000416
42,1361.05,0.81346,0.64791,1.41287,0.95771,0.94354,0.95722,0.78977,0.80094,0.54698,1.3947,0.0003764,0.0003764,0.0003764
43,1385.47,0.80594,0.64255,1.42538,0.97836,0.94177,0.9564,0.80466,0.77581,0.51788,1.37226,0.0003368,0.0003368,0.0003368
44,1720.15,0.77482,0.6092,1.38207,0.96796,0.95139,0.95978,0.8078,0.74993,0.49733,1.35693,0.0002972,0.0002972,0.0002972
45,1744.73,0.77076,0.59412,1.38627,0.98219,0.94444,0.95778,0.80769,0.72991,0.49127,1.34095,0.0002576,0.0002576,0.0002576
46,1769.24,0.76641,0.60307,1.37207,0.97161,0.95053,0.95669,0.81102,0.75194,0.48442,1.35531,0.000218,0.000218,0.000218
47,1793.6,0.7588,0.59786,1.37049,0.98496,0.95139,0.9591,0.81885,0.72934,0.47744,1.33689,0.0001784,0.0001784,0.0001784
48,1818.07,0.74839,0.5764,1.36433,0.98307,0.95833,0.95811,0.80471,0.74063,0.47579,1.33454,0.0001388,0.0001388,0.0001388
49,1842.47,0.74447,0.57649,1.36608,0.98263,0.94444,0.95685,0.80835,0.74753,0.47238,1.3433,9.92e-05,9.92e-05,9.92e-05
50,1867,0.73256,0.57641,1.34593,0.98862,0.95833,0.95867,0.81957,0.72302,0.46876,1.32484,5.96e-05,5.96e-05,5.96e-05
