epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.357,1.24575,1.48314,1.69777,0.02498,0.10417,0.01535,0.00342,2.87153,10.9121,3.75663,0.000663923,0.000663923,0.000663923
2,350.721,1.42968,1.52005,1.81632,0.59185,0.66667,0.67371,0.33378,1.78982,2.05003,2.90865,0.00128668,0.00128668,0.00128668
3,520.064,1.37065,1.45839,1.75396,0.80926,0.76608,0.83015,0.51161,1.49166,1.53636,2.16598,0.00186544,0.00186544,0.00186544
4,671.61,1.36571,1.44715,1.73708,0.90331,0.71364,0.84962,0.58345,1.28458,1.63538,1.90932,0.001802,0.001802,0.001802
5,840.309,1.31333,1.37387,1.69324,0.78413,0.8125,0.87982,0.62872,1.13853,1.33417,1.71633,0.001736,0.001736,0.001736
6,996.606,1.18879,1.28668,1.60597,0.66621,0.77083,0.78864,0.58787,1.09854,1.27711,1.67596,0.00167,0.00167,0.00167
7,1164.31,1.19896,1.26967,1.62358,0.88956,0.75694,0.87779,0.63259,1.10123,1.10619,1.7167,0.001604,0.001604,0.001604
8,1320.74,1.10047,1.14267,1.54677,0.86961,0.88194,0.8962,0.64597,1.16177,0.90766,1.72668,0.001538,0.001538,0.001538
9,1487.7,1.06975,1.09554,1.51468,0.91079,0.85085,0.90668,0.69515,0.97313,0.83476,1.53815,0.001472,0.001472,0.001472
10,1651.57,1.05747,1.10592,1.52152,0.94472,0.83333,0.91532,0.73122,0.9139,0.73715,1.50781,0.001406,0.001406,0.001406
11,1818.71,1.00296,1.02513,1.46279,0.95462,0.84028,0.92782,0.74274,0.93022,0.75921,1.52483,0.00134,0.00134,0.00134
12,1985.25,0.99176,1.03213,1.45974,0.91149,0.92971,0.94535,0.76376,0.85402,0.66715,1.42084,0.001274,0.001274,0.001274
13,2152.33,0.98184,0.9629,1.46065,0.91111,0.90278,0.94403,0.77338,0.85013,0.63005,1.41589,0.001208,0.001208,0.001208
14,2319.14,0.93007,0.92947,1.40647,0.95512,0.90278,0.94138,0.7849,0.79383,0.62147,1.39884,0.001142,0.001142,0.001142
15,2486.13,0.92169,0.91837,1.40523,0.91658,0.91561,0.93894,0.77623,0.82881,0.60566,1.40715,0.001076,0.001076,0.001076
16,2634.69,0.89676,0.8578,1.38558,0.96246,0.92361,0.9569,0.77243,0.81129,0.54737,1.39638,0.00101,0.00101,0.00101
17,2801.36,0.89631,0.85163,1.38294,0.95393,0.86279,0.93679,0.76172,0.85244,0.60658,1.418,0.000944,0.000944,0.000944
18,2967.82,0.83831,0.80749,1.35053,0.9487,0.93056,0.95544,0.7918,0.75767,0.51815,1.34665,0.000878,0.000878,0.000878
19,3134.91,0.82683,0.80476,1.33415,0.94248,0.91667,0.95186,0.7879,0.73789,0.5235,1.31662,0.000812,0.000812,0.000812
20,3286.1,0.83354,0.7665,1.34476,0.95738,0.93608,0.94073,0.78444,0.82246,0.53096,1.3755,0.000746,0.000746,0.000746
21,3486.3,0.74242,0.60236,1.3099,0.9686,0.92361,0.95604,0.80978,0.73303,0.49552,1.32863,0.00068,0.00068,0.00068
22,3633.81,0.72211,0.57176,1.28014,0.95543,0.89326,0.95171,0.81167,0.68571,0.49047,1.26944,0.000614,0.000614,0.000614
23,3821.95,0.6717,0.52653,1.2558,0.94356,0.95833,0.95335,0.79364,0.75696,0.4784,1.32299,0.000548,0.000548,0.000548
24,4237.67,0.67491,0.51874,1.25448,0.95047,0.93279,0.95958,0.81891,0.69882,0.46656,1.27232,0.000482,0.000482,0.000482
25,4435.47,0.66179,0.49127,1.23084,0.95019,0.94444,0.95431,0.82937,0.68737,0.41785,1.26258,0.000416,0.000416,0.000416
26,4587.72,0.63824,0.47323,1.22983,0.96634,0.93056,0.95313,0.82096,0.70462,0.42301,1.26756,0.00035,0.00035,0.00035
27,4759.36,0.62915,0.46003,1.22237,0.93824,0.9375,0.95272,0.83028,0.69725,0.41766,1.26359,0.000284,0.000284,0.000284
28,4922.3,0.59661,0.43779,1.19648,0.97053,0.9375,0.95487,0.83637,0.6728,0.39575,1.24284,0.000218,0.000218,0.000218
29,5095.35,0.58995,0.44004,1.19535,0.97839,0.9432,0.95643,0.84142,0.64121,0.38326,1.22593,0.000152,0.000152,0.000152
30,5253.03,0.56435,0.40977,1.16224,0.97577,0.94444,0.95626,0.85168,0.63945,0.37567,1.22667,8.6e-05,8.6e-05,8.6e-05
